Time;MaxTemp
2010-03-01;30.19
2010-04-01;30.3
2010-05-01;30.35
2010-06-01;30.28
2010-07-01;30.05
2010-08-01;30.49
2010-09-01;30.88
2010-10-01;31.42
2010-11-01;31.36
2010-12-01;30.48
2011-01-01;29.71
2011-02-01;29.86
2011-03-01;30.32
2011-04-01;30.26
2011-05-01;30.47
2011-06-01;29.93
2011-07-01;29.85
2011-08-01;30.29
2011-09-01;30.78
2011-10-01;31.46
2011-11-01;31.59
2011-12-01;30.83
2012-01-01;29.79
2012-02-01;29.8
2012-03-01;30.51
2012-04-01;30.63
2012-05-01;30.58
2012-06-01;30.16
2012-07-01;29.75
2012-08-01;30.24
2012-09-01;30.69
2012-10-01;31.53
2012-11-01;30.92
2012-12-01;30.27
2013-01-01;29.91
2013-02-01;29.78
2013-03-01;30.18
2013-04-01;30.41
2013-05-01;30.55
2013-06-01;30.36
2013-07-01;29.89
2013-08-01;30.51
2013-09-01;30.52
2013-10-01;31.52
2013-11-01;30.78
2013-12-01;30.84
2014-01-01;29.77
2014-02-01;29.2
2014-03-01;30
2014-04-01;30.97
2014-05-01;30.38
2014-06-01;30.4
2014-07-01;30.07
2014-08-01;30.51
2014-09-01;31.4
2014-10-01;31.61
2014-11-01;32.16
2014-12-01;31.07
2015-01-01;29.86
2015-02-01;30.55
2015-03-01;30
2015-04-01;31.09
2015-05-01;30.43
2015-06-01;30.74
2015-07-01;29.87
2015-08-01;30.27
2015-09-01;30.63
2015-10-01;31.31
2015-11-01;31.19
2015-12-01;30.49
2016-01-01;29.82
2016-02-01;30.12
2016-03-01;30.56
2016-04-01;31.14
2016-05-01;30.43
2016-06-01;29.96
2016-07-01;29.77
2016-08-01;30.85
2016-09-01;31.17
2016-10-01;31.62
2016-11-01;30.87
2016-12-01;30.19
2017-01-01;29.98
2017-02-01;30.87
2017-03-01;30.21
2017-04-01;30.47
2017-05-01;30.4
2017-06-01;30.07
2017-07-01;30.06
2017-08-01;30.5
2017-09-01;30.86
2017-10-01;31.61
2017-11-01;30.67
2017-12-01;30.13
2018-01-01;29.55
2018-02-01;29.65
2018-03-01;30.64
2018-04-01;30.4
2018-05-01;30.38
2018-06-01;30.1
2018-07-01;29.95
2018-08-01;30.19
2018-09-01;30.74
2018-10-01;31.17
2018-11-01;30.8
2018-12-01;30.41
2019-01-01;30.07
2019-02-01;30.14
2019-03-01;30.24
2019-04-01;30.61
2019-05-01;30.4
2019-06-01;29.92
2019-07-01;29.8
2019-08-01;30.19
2019-09-01;30.44
2019-10-01;31.49
2019-11-01;30.95
2019-12-01;30.12
2020-01-01;30.32
2020-02-01;30.27
2020-03-01;30.42
2020-04-01;30.76
2020-05-01;30.39
2020-06-01;30.35
2020-07-01;30.08
2020-08-01;30.59
2020-09-01;31.03
2020-10-01;31.56
2020-11-01;31.06
2020-12-01;30.17
