Periode,Harga
1,"48,650"
2,"47,150"
3,"48,750"
4,"51,500"
5,"41,400"
6,"47,650"
7,"47,400"
8,"45,250"
9,"49,900"
10,"52,150"
11,"49,150"
12,"46,500"
13,"43,650"
14,"41,650"
15,"38,900"
16,"34,400"
17,"36,650"
18,"33,750"
19,"34,750"
20,"32,150"
21,"26,900"
22,"24,250"
23,"31,650"
24,"32,000"
25,"27,500"
26,"28,250"
27,"31,650"
28,"31,150"
29,"29,650"
30,"27,750"
31,"31,900"
32,"31,500"
33,"28,000"
34,"27,650"
35,"25,150"
36,"27,500"
37,"29,250"
38,"30,900"
39,"34,500"
40,"37,750"
41,"44,250"
42,"47,750"
43,"43,000"
44,"42,000"
45,"36,750"
46,"34,650"
47,"32,250"
48,"31,750"
49,"32,900"
50,"33,650"
51,"35,000"
52,"32,400"
53,"32,000"
54,"27,000"
55,"24,250"
56,"21,500"
57,"23,000"
58,"23,150"
59,"23,400"
60,"23,000"
61,"21,650"
62,"22,150"
63,"21,900"
64,"25,150"
65,"25,750"
66,"24,900"
67,"24,900"
68,"27,000"
69,"26,750"
70,"30,400"
71,"32,500"
72,"28,250"
73,"33,500"
74,"58,250"
75,"55,000"
76,"55,900"
77,"58,750"
78,"65,150"
79,"71,500"
80,"70,000"
81,"68,150"
82,"64,000"
83,"66,500"
84,"80,250"
85,"75,750"
86,"67,650"
87,"64,250"
88,"55,400"
89,"46,400"
90,"44,250"
91,"43,650"
92,"51,000"
93,"45,500"
94,"43,750"
95,"38,650"
96,"39,650"
97,"43,250"
98,"42,150"
99,"36,500"
100,"34,000"
101,"36,250"
102,"40,000"
103,"40,150"
104,"41,650"
105,"43,650"
106,"46,650"
107,"42,150"
108,"42,650"
109,"42,250"
110,"43,400"
111,"42,400"
112,"48,650"
113,"45,250"
114,"41,250"
115,"32,250"
116,"29,900"
117,"29,900"
118,"25,900"
119,"25,150"
120,"27,500"
121,"23,750"
122,"23,250"
123,"19,900"
124,"21,000"
125,"28,000"
126,
127,"21,650"
128,"21,150"
129,"21,150"
130,"22,900"
131,"21,000"
132,"26,500"
133,"27,750"
134,"27,500"
135,"30,400"
136,"25,750"
137,
138,"24,000"
139,"21,650"
140,"23,900"
141,"27,150"
142,"27,400"
143,"34,650"
144,"42,400"
145,"49,500"
146,"40,500"
147,"37,750"
148,"44,650"
149,"43,750"
150,"44,750"
151,"44,400"
152,"53,750"
153,"51,400"
154,"57,000"
155,"66,000"
156,"65,400"
157,"61,750"
158,"54,650"
159,"57,250"
160,"45,500"
161,"47,000"
162,"51,750"
163,"46,400"
164,"43,250"
165,"45,650"
166,"47,650"
167,"48,650"
168,"50,150"
169,"50,750"
170,"49,250"
171,"44,650"
172,"43,150"
173,"31,250"
174,"31,250"
175,"37,150"
176,"36,900"
177,"28,400"
178,"26,650"
179,"25,400"
180,"22,650"
181,"23,500"
182,"24,650"
183,"30,400"
184,"28,900"
185,"36,000"
186,"29,400"
187,"24,650"
188,"25,000"
189,"23,150"
190,"22,650"
191,"22,400"
192,"25,900"
193,"25,750"
194,"27,900"
195,"33,500"
196,"44,150"
197,"38,750"
198,"38,150"
199,"47,500"
200,"48,400"
201,"56,150"
202,"52,150"
203,"42,650"
204,"39,000"
205,"38,150"
206,"40,500"
207,"42,400"
208,"38,400"
209,"38,400"
210,"39,000"
211,"30,650"
212,"27,400"
213,"28,500"
214,"33,000"
215,"40,150"
216,"45,500"
217,
218,"56,900"
219,"52,150"
220,"51,650"
221,"38,400"
222,"41,650"
223,"34,500"
224,"32,650"
225,"32,750"
226,
227,"31,150"
228,
229,"42,650"
230,"62,400"
231,"64,500"
232,"98,500"
233,"97,500"
234,"112,650"
235,"118,150"
236,"117,500"
237,"97,250"
238,"90,900"
239,"91,650"
240,"81,000"
241,"63,400"
242,"68,250"
243,"78,150"
244,"97,500"
245,"67,500"
246,"69,250"
247,"53,650"
248,"50,250"
249,"66,250"
250,"47,000"
251,"42,900"
252,"41,150"
253,"38,400"
254,"34,150"
255,"40,900"
256,"37,250"
257,"38,500"
258,"43,500"
259,"45,400"
260,"39,150"
261,"47,500"
262,"46,250"
263,"45,150"
264,"43,400"
265,"52,000"
266,"52,500"
267,"46,400"
268,"56,650"
269,"56,500"
270,"45,000"
271,"45,400"
272,"43,150"
273,"40,900"
274,"31,750"
275,"30,500"
276,"38,750"
277,"40,400"
278,
279,"27,250"
280,"26,150"
281,"26,500"
282,"27,750"
283,"29,500"
284,"28,150"
285,"27,500"
286,"37,150"
287,"44,650"
288,"38,900"
289,"42,650"
290,"37,250"
291,"35,150"
292,"39,500"
293,"45,650"
294,"56,750"
295,"56,150"
296,"49,750"
297,"43,500"
298,"39,500"
299,"48,400"
300,"45,750"
301,"44,150"
302,"41,750"
303,"48,400"
304,"65,400"
305,"66,000"
