t;Yt;Ytmin1;Xt
1;30.2;;0.046857167
2;28.2;30.2;0.046455536
3;26.6;28.2;0.046857167
4;25.0;26.6;0.048195943
5;26.0;25.0;0.048865333
6;26.0;26.0;0.050204106
7;26.0;26.0;0.050204106
8;24.0;26.0;0.050204106
9;23.0;24.0;0.046857167
10;24.0;23.0;0.044179615
11;25.0;24.0;0.04284084
12;26.0;25.0;0.04049798
13;27.0;26.0;0.040163286
14;29.0;27.0;0.03882451
15;29.0;29.0;0.03882451
16;29.0;29.0;0.03882451
17;29.0;29.0;0.037485734
18;28.0;29.0;0.042506143
19;27.0;28.0;0.050204106
20;27.0;27.0;0.0562286
21;27.0;27.0;0.0562286
22;27.0;27.0;0.054889824
23;27.0;27.0;0.052881658
24;27.0;27.0;0.05221227
25;27.0;27.0;0.05221227
26;28.0;27.0;0.05221227
27;29.0;28.0;0.052881658
28;31.0;29.0;0.05221227
29;31.0;31.0;0.05221227
30;32.0;31.0;0.051542886
31;32.0;32.0;0.050873496
32;31.0;32.0;0.054889824
33;31.0;31.0;0.060914315
34;30.0;31.0;0.05555921
35;30.0;30.0;0.04618778
36;29.0;30.0;0.038155124
37;27.0;29.0;0.030791853
38;26.0;27.0;0.025771443
39;25.0;26.0;0.023428584
40;25.0;25.0;0.023763277
41;24.0;25.0;0.026775524
42;24.0;24.0;0.03146124
43;25.0;24.0;0.038155124
44;25.0;25.0;0.04351023
45;25.0;25.0;0.04351023
46;26.0;25.0;0.044849
47;26.0;26.0;0.04618778
48;27.0;26.0;0.04551839
49;27.0;27.0;0.044179615
50;27.0;27.0;0.044849
51;27.0;27.0;0.04618778
52;28.0;27.0;0.047526553
53;28.0;28.0;0.046857167
54;27.0;28.0;0.04618778
55;27.0;27.0;0.04551839
56;26.0;27.0;0.047526553
57;25.0;26.0;0.04551839
58;23.0;25.0;0.03715104
59;22.0;23.0;0.027444912
60;21.0;22.0;0.021253072
61;20.0;21.0;0.017571438
62;19.0;20.0;0.01573062
63;19.0;19.0;0.015563274
64;20.0;19.0;0.018073479
65;21.0;20.0;0.022089807
66;21.0;21.0;0.025771443
67;21.0;21.0;0.030457158
68;22.0;21.0;0.03547757
69;24.0;22.0;0.039159205
70;26.0;24.0;0.044179615
71;27.0;26.0;0.046857167
72;28.0;27.0;0.047526553
