Time;Max Temperature
Mar-10;30,19
Apr-10;30,3
May-10;30,35
Jun-10;30,28
Jul-10;30,05
Aug-10;30,49
Sep-10;30,88
Oct-10;31,42
Nov-10;31,36
Dec-10;30,48
Jan-11;29,71
Feb-11;29,86
Mar-11;30,32
Apr-11;30,26
May-11;30,47
Jun-11;29,93
Jul-11;29,85
Aug-11;30,29
Sep-11;30,78
Oct-11;31,46
Nov-11;31,59
Dec-11;30,83
Jan-12;29,79
Feb-12;29,8
Mar-12;30,51
Apr-12;30,63
May-12;30,58
Jun-12;30,16
Jul-12;29,75
Aug-12;30,24
Sep-12;30,69
Oct-12;31,53
Nov-12;30,92
Dec-12;30,27
Jan-13;29,91
Feb-13;29,78
Mar-13;30,18
Apr-13;30,41
May-13;30,55
Jun-13;30,36
Jul-13;29,89
Aug-13;30,51
Sep-13;30,52
Oct-13;31,52
Nov-13;30,78
Dec-13;30,84
Jan-14;29,77
Feb-14;29,2
Mar-14;30
Apr-14;30,97
May-14;30,38
Jun-14;30,4
Jul-14;30,07
Aug-14;30,51
Sep-14;31,4
Oct-14;31,61
Nov-14;32,16
Dec-14;31,07
Jan-15;29,86
Feb-15;30,55
Mar-15;30
Apr-15;31,09
May-15;30,43
Jun-15;30,74
Jul-15;29,87
Aug-15;30,27
Sep-15;30,63
Oct-15;31,31
Nov-15;31,19
Dec-15;30,49
Jan-16;29,82
Feb-16;30,12
Mar-16;30,56
Apr-16;31,14
May-16;30,43
Jun-16;29,96
Jul-16;29,77
Aug-16;30,85
Sep-16;31,17
Oct-16;31,62
Nov-16;30,87
Dec-16;30,19
Jan-17;29,98
Feb-17;30,87
Mar-17;30,21
Apr-17;30,47
May-17;30,4
Jun-17;30,07
Jul-17;30,06
Aug-17;30,5
Sep-17;30,86
Oct-17;31,61
Nov-17;30,67
Dec-17;30,13
Jan-18;29,55
Feb-18;29,65
Mar-18;30,64
Apr-18;30,4
May-18;30,38
Jun-18;30,1
Jul-18;29,95
Aug-18;30,19
Sep-18;30,74
Oct-18;31,17
Nov-18;30,8
Dec-18;30,41
Jan-19;30,07
Feb-19;30,14
Mar-19;30,24
Apr-19;30,61
May-19;30,4
Jun-19;29,92
Jul-19;29,8
Aug-19;30,19
Sep-19;30,44
Oct-19;31,49
Nov-19;30,95
Dec-19;30,12
Jan-20;30,32
Feb-20;30,27
Mar-20;30,42
Apr-20;30,76
May-20;30,39
Jun-20;30,35
Jul-20;30,08
Aug-20;30,59
Sep-20;31,03
Oct-20;31,56
Nov-20;31,06
Dec-20;30,17
